Día|Oficina|Descripción|Débitos|Créditos|Saldo Bs.|||
01|100|COMI. ENVIO ESTADO DE CUENTA|18.452,00-|0.00|1,073,505,139.44|||
01|100|RETENCION IGTF|369,04-|0.00|1,073,504,770.40|||
01|100|COMI.PP.MISMO BCO C 01/03/21|1.000,00-|0.00|1,073,503,770.40|||
01|100|RETENCION IGTF|20,00-|0.00|1,073,503,750.40|||
02|100|COMPL.EMI.CHEQ.GER C 02/03/21|196.442,21-|0.00|1,073,307,308.19|||
02|100|RETENCION IGTF|3.928,84-|0.00|1,073,303,379.35|||
02|100|COMISION MISMO BANCO|13.596,20-|0.00|1,073,289,783.15|||
02|100|RETENCION IGTF|271,92-|0.00|1,073,289,511.23|||
02|100|PN0176446980PAGO DE NOMINA|9.064.137,39-|0.00|1,064,225,373.84|||
02|100|RETENCION IGTF|181.282,75-|0.00|1,064,044,091.09|||
03|251|EMIS.CHEQ.GER. PAG011687913|42.710.291,91-|0.00|1,021,333,799.18|||
03|251|COMISIONES|200.000,00-|0.00|1,021,133,799.18|||
03|251|EMIS.CHEQ.GER. PAG011687914|42.259.745,97-|0.00|978,874,053.21|||
03|251|COMISIONES|200.000,00-|0.00|978,674,053.21|||
03|100|PP0176458641PAGO A PROVEEDORES|500.000.000,00-|0.00|478,674,053.21|||
03|100|RETENCION IGTF|10.000.000,00-|0.00|468,674,053.21|||
04|100|COMISION MISMO BANCO|44.134,06-|0.00|468,629,919.15|||
04|100|RETENCION IGTF|882,68-|0.00|468,629,036.47|||
04|100|COMISION OTROS BANCOS|62.134,17-|0.00|468,566,902.30|||
04|100|RETENCION IGTF|1.242,68-|0.00|468,565,659.62|||
04|100|COMISION MISMO BANCO|39.900,00-|0.00|468,525,759.62|||
04|100|RETENCION IGTF|798,00-|0.00|468,524,961.62|||
04|100|COMISION OTROS BANCOS|57.100,00-|0.00|468,467,861.62|||
04|100|RETENCION IGTF|1.142,00-|0.00|468,466,719.62|||
04|100|PN0176490030PAGO DE NOMINA|54.276.903,99-|0.00|414,189,815.63|||
04|100|RETENCION IGTF|1.085.538,08-|0.00|413,104,277.55|||
04|100|PN0176490050PAGO DE NOMINA|49.440.000,00-|0.00|363,664,277.55|||
04|100|RETENCION IGTF|988.800,00-|0.00|362,675,477.55|||
09|100|PP0176545421PAGO A PROVEEDORES|0.00|600,000,000.00|962,675,477.55|||
09|100|COMISION MISMO BANCO|5.115,71-|0.00|962,670,361.84|||
09|100|RETENCION IGTF|102,31-|0.00|962,670,259.53|||
09|100|PP0176546491PAGO A PROVEEDORES|304.468.186,84-|0.00|658,202,072.69|||
09|100|RETENCION IGTF|6.089.363,74-|0.00|652,112,708.95|||
09|100|PP0176546531PAGO A PROVEEDORES|545.700.102,00-|0.00|106,412,606.95|||
09|100|RETENCION IGTF|10.914.002,04-|0.00|95,498,604.91|||
09|100|PN0176546450PAGO DE NOMINA|3.410.475,46-|0.00|92,088,129.45|||
09|100|RETENCION IGTF|68.209,51-|0.00|92,019,919.94|||
10|100|PP0176562111PAGO A PROVEEDORES|0.00|1,000,000,000.00|1,092,019,919.94|||
10|100|PP0176565711PAGO A PROVEEDORES|464.603.750,00-|0.00|627,416,169.94|||
10|100|RETENCION IGTF|9.292.075,00-|0.00|618,124,094.94|||
10|100|PP0176565771PAGO A PROVEEDORES|535.500.102,00-|0.00|82,623,992.94|||
10|100|RETENCION IGTF|10.710.002,04-|0.00|71,913,990.90|||
11|100|PP0176592271PAGO A PROVEEDORES|0.00|50,000,000.00|121,913,990.90|||
11|100|COMISION MISMO BANCO|48.529,72-|0.00|121,865,461.18|||
11|100|RETENCION IGTF|970,59-|0.00|121,864,490.59|||
11|100|COMISION OTROS BANCOS|59.539,36-|0.00|121,804,951.23|||
11|100|RETENCION IGTF|1.190,79-|0.00|121,803,760.44|||
11|100|COMISION MISMO BANCO|43.140,00-|0.00|121,760,620.44|||
11|100|RETENCION IGTF|862,80-|0.00|121,759,757.64|||
11|100|COMISION OTROS BANCOS|53.700,00-|0.00|121,706,057.64|||
11|100|RETENCION IGTF|1.074,00-|0.00|121,704,983.64|||
11|100|PN0176592630PAGO DE NOMINA|56.169.482,15-|0.00|65,535,501.49|||
