||||PRODUCTOS MARINOS, C.A.||||
||||||||P�g. 1
||||RIF J306551166||||
||||Mayor Anal�tico  DEL  01/07/2021  AL  28/07/2021||||
||||Emitido el 05/05/2021 a las 1:54:05 p. m.||||
C�digo||1.1.01.02.002||||||
Descripci�n||BCO. OCCID. DE DSCTO-7127472||||||
|N�mero de|||||||Fecha del
Fecha |Comprob.|Aux.|Ref.|Descripci�n|Monto Debe|Monto Haber| Saldo|Asiento
|||||||0.00|
2/07/2021|02-000037||REF- 1767|P/REG COMPRA DE COMBUSTIBLE|0|110.00|-110.00|1/07/2021
||||GASOIL SEGUN FAC N� 41365 Y N�||||
||||41356||||
2/07/2021|02-000037|||P/REG TRANSFERENCIA RECIBIDA|0|60.00|-230.00|1/07/2021|
||||VIA PROSERCA ||||
2/07/2021|02-000037|||P/REG TRANSFERENCIA RECIBIDA|0|60.00|-230.00|1/07/2021|
2/07/2021|02-000039|||P/REG COMISIONES AL DIA|80.00|0|150.00|1/07/2021

||||TOTALES . . . . . . . |80.00|230.00|1,533,809,260.99|


