D�a|Oficina|Descripci�n|D�bitos|Cr�ditos|Saldo Bs.|||
01|100|COMI. ENVIO ESTADO DE CUENTA|18.452,00-|0.00|49,931,630.78|||
01|100|RETENCION IGTF|369,04-|0.00|49,931,261.74|||
01|100|COMISION MISMO BANCO|14.119,94-|0.00|49,917,141.80|||
01|100|RETENCION IGTF|282,40-|0.00|49,916,859.40|||
01|100|COMISION MISMO BANCO|6.766,72-|0.00|49,910,092.68|||
01|100|RETENCION IGTF|135,33-|0.00|49,909,957.35|||
01|100|PP0175957811PAGO A PROVEEDORES|0.00|1,000,000,000.00|1,049,909,957.35|||
01|100|PP0175958741PAGO A PROVEEDORES|499.800.102,00-|0|550,109,855.35|||
01|100|RETENCION IGTF|9.996.002,04-|0.00|540,113,853.31|||
01|100|PP0175958741PAGO A PROVEEDORES|510.000.102,00-|0.00|30,113,751.31|||
01|100|RETENCION IGTF|10.200.002,04-|0.00|19,913,749.27|||
01|100|PN0175956020PAGO DE NOMINA|9.413.298,69-|0.00|10,500,450.58|||
01|100|RETENCION IGTF|188.265,97-|0.00|10,312,184.61|||
01|100|PN0175956140PAGO DE NOMINA|4.511.149,96-|0.00|5,801,034.65|||
01|100|RETENCION IGTF|90.223,00-|0.00|5,710,811.65|||
02|100|COMPL.EMI.CHEQ.GER C 02/02/21|735.766,85-|0.00|4,975,044.80|||
02|100|RETENCION IGTF|14.715,34-|0.00|4,960,329.46|||
03|100|PP0175981481PAGO A PROVEEDORES|0.00|1,200,000,000.00|1,204,960,329.46|||
03|100|PP0175981661PAGO A PROVEEDORES|297.274.458,14-|0.00|907,685,871.32|||
03|100|RETENCION IGTF|5.945.489,16-|0.00|901,740,382.16|||
03|100|PP0175981671PAGO A PROVEEDORES|858.503.750,00-|0.00|43,236,632.16|||
03|100|RETENCION IGTF|17.170.075,00-|0.00|26,066,557.16|||
04|100|PP0176017931PAGO A PROVEEDORES|0.00|150,000,000.00|176,066,557.16|||
04|100|COMISION MISMO BANCO|1.308,95-|0.00|176,065,248.21|||
04|100|RETENCION IGTF|26,18-|0.00|176,065,222.03|||
04|100|COMISION OTROS BANCOS|59.842,38-|0.00|176,005,379.65|||
04|100|RETENCION IGTF|1.196,85-|0.00|176,004,182.80|||
04|100|COMISION MISMO BANCO|45.005,86-|0.00|175,959,176.94|||
04|100|RETENCION IGTF|900,12-|0.00|175,958,276.82|||
04|100|COMISION OTROS BANCOS|56.700,00-|0.00|175,901,576.82|||
04|100|RETENCION IGTF|1.134,00-|0.00|175,900,442.82|||
04|100|COMISION MISMO BANCO|41.700,00-|0.00|175,858,742.82|||
04|100|RETENCION IGTF|834,00-|0.00|175,857,908.82|||
04|100|PN0176018170PAGO DE NOMINA|872.636,69-|0.00|174,985,272.13|||
04|100|RETENCION IGTF|17.452,73-|0.00|174,967,819.40|||
04|100|PN0176018220PAGO DE NOMINA|53.941.426,72-|0.00|121,026,392.68|||
04|100|RETENCION IGTF|1.078.828,53-|0.00|119,947,564.15|||
04|100|PN0176018270PAGO DE NOMINA|50.480.000,00-|0.00|69,467,564.15|||
04|100|RETENCION IGTF|1.009.600,00-|0.00|68,457,964.15|||
05|100|COMISION MISMO BANCO|54.918,94-|0.00|68,403,045.21|||
05|100|RETENCION IGTF|1.098,38-|0.00|68,401,946.83|||
05|100|PN0176039680PAGO DE NOMINA|36.612.667,19-|0.00|31,789,279.64|||
05|100|RETENCION IGTF|732.253,34-|0.00|31,057,026.30|||
08|251|EMIS.CHEQ.GER. PAG011688190|25.439.071,51-|0.00|5,617,954.79|||
08|251|COMISIONES|200.000,00-|0.00|5,417,954.79|||
09|100|PP0176075511PAGO A PROVEEDOR|0.00|400,000,000.00|405,417,954.79|||
10|100|PP0176099941PAGO A PROVEEDOR|0.00|900,000,000.00|1,305,417,954.79|||
10|100|PP0176099981PAGO A PROVEEDORES|260.680.000,00-|0.00|1,044,737,954.79|||
10|100|RETENCION IGTF|5.213.600,00-|0.00|1,039,524,354.79|||
10|100|PP0176100001PAGO A PROVEEDORES|525.300.102,00-|0.00|514,224,252.79|||
10|100|RETENCION IGTF|10.506.002,04-|0.00|503,718,250.75|||
11|251|EMIS.CHEQ.GER. PAG011687966|396.442.206,00-|0.00|107,276,044.75|||
11|251|COMISIONES|200.000,00-|0.00|107,076,044.75|||
11|251|EMIS.CHEQ.GER. PAG011687967|88.198.288,70-|0.00|18,877,756.05|||
11|251|COMISIONES|200.000,00-|0.00|18,677,756.05|||
11|100|PP0176133711PAGO A PROVEEDORES|0.00|400,000,000.00|418,677,756.05|||
11|100|PP0176134231PAGO A PROVEEDORES|1.200.000,00-|0.00|417,477,756.05|||
11|100|RETENCION IGTF|24.000,00-|0.00|417,453,756.05|||
11|100|PP0176134301PAGO A PROVEEDORES|18.720.000,00-|0.00|398,733,756.05|||
11|100|RETENCION IGTF|374.400,00-|0.00|398,359,356.05|||
11|100|PP0176134372PAGO A PROVEEDORES|27.010.124,19-|0.00|371,349,231.86|||
11|100|RETENCION IGTF|540.202,48-|0.00|370,809,029.38|||
11|100|COMISION OTROS BANCOS|67.525,31-|0.00|370,741,504.07|||
11|100|RETENCION IGTF|1.350,51-|0.00|370,740,153.56|||
11|100|COMISION OTROS BANCOS|2.758,14-|0.00|370,737,395.42|||
11|100|RETENCION IGTF|55,16-|0.00|370,737,340.26|||
11|100|COMISION MISMO BANCO|44.724,98-|0.00|370,692,615.28|||
11|100|RETENCION IGTF|894,50-|0.00|370,691,720.78|||
11|100|COMISION OTROS BANCOS|62.642,06-|0.00|370,629,078.72|||
11|100|RETENCION IGTF|1.252,84-|0.00|370,627,825.88|||
11|100|COMISION MISMO BANCO|40.980,00-|0.00|370,586,845.88|||
11|100|RETENCION IGTF|819,60-|0.00|370,586,026.28|||
11|100|COMISION OTROS BANCOS|57.200,00-|0.00|370,528,826.28|||
11|100|RETENCION IGTF|1.144,00-|0.00|370,527,682.28|||
11|100|COMISION MISMO BANCO|261.117,29-|0.00|370,266,564.99|||
11|100|RETENCION IGTF|5.222,35-|0.00|370,261,342.64|||
11|100|COMISION OTROS BANCOS|140.280,60-|0.00|370,121,062.04|||
11|100|RETENCION IGTF|2.805,61-|0.00|370,118,256.43|||
11|100|COMISION MISMO BANCO|30.000,00-|0.00|370,088,256.43|||
11|100|RETENCION IGTF|600,00-|0.00|370,087,656.43|||
11|100|COMISION OTROS BANCOS|18.000,00-|0.00|370,069,656.43|||
11|100|RETENCION IGTF|360,00-|0.00|370,069,296.43|||
11|100|PN0176134440PAGO DE NOMINA|1.103.259,00-|0.00|368,966,037.43|||
11|100|RETENCION IGTF|22.065,18-|0.00|368,943,972.25|||
11|100|PN0176134530PAGO DE NOMINA|54.873.984,11-|0.00|314,069,988.14|||
11|100|RETENCION IGTF|1.097.479,68-|0.00|312,972,508.46|||
11|100|PN0176134590PAGO DE NOMINA|50.200.000,00-|0.00|262,772,508.46|||
11|100|RETENCION IGTF|1.004.000,00-|0.00|261,768,508.46|||
11|100|PN0176134650PAGO DE NOMINA|230.190.964,26-|0.00|31,577,544.20|||
11|100|RETENCION IGTF|4.603.819,29-|0.00|26,973,724.91|||
11|100|PN0176134680PAGO DE NOMINA|27.200.000,00-|0.00|226.275,09-|||
11|100|RETENCION IGTF|544.000,00-|0.00|770.275,09-|||
12|100|PP0176158571PAGO A PROVEEDORES|0.00|200,000,000.00|199,229,724.91|||
12|100|COMISION MISMO BANCO|53.580,00-|0.00|199,176,144.91|||
12|100|RETENCION IGTF|1.071,60-|0.00|199,175,073.31|||
12|100|COMISION OTROS BANCOS|34.300,00-|0.00|199,140,773.31|||
12|100|RETENCION IGTF|686,00-|0.00|199,140,087.31|||
12|100|PP0176183311PAGO A PROVEEDORES|0.00|400,000,000.00|599,140,087.31|||
12|100|COMISION OTROS BANCOS|5.772,66-|0.00|599,134,314.65|||
12|100|RETENCION IGTF|115,45-|0.00|599,134,199.20|||
12|100|COMISION MISMO BANCO|9.427,20-|0.00|599,124,772.00|||
12|100|RETENCION IGTF|188,54-|0.00|599,124,583.46|||
12|100|PP0176183361PAGO A PROVEEDORES|510.000.102,00-|0.00|89,124,481.46|||
12|100|RETENCION IGTF|10.200.002,04-|0.00|78,924,479.42|||
12|100|PN0176134680PAGO DE NOMINA|49.440.000,00-|0.00|29,484,479.42|||
12|100|RETENCION IGTF|988.800,00-|0.00|28,495,679.42|||
12|100|PN0176183350PAGO DE NOMINA|8.593.867,01-|0.00|19,901,812.41|||
12|100|RETENCION IGTF|171.877,34-|0.00|19,729,935.07|||
18|100|TRANSF. VIA INTERNET|0.00|200,000,000.00|219,729,935.07|||
18|100|PP0176236941PAGO A PROVEEDORES|0.00|650,000,000.00|869,729,935.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,728,935.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,728,915.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,727,915.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,727,895.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,726,895.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,726,875.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,725,875.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,725,855.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,724,855.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,724,835.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,723,835.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,723,815.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,722,815.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,722,795.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,721,795.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,721,775.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,720,775.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,720,755.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,719,755.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,719,735.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,718,735.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,718,715.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,717,715.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,717,695.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,716,695.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,716,675.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,715,675.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,715,655.07|||
18|100|COMI.PP.MISMO BCO C 18/02/21|1.000,00-|0.00|869,714,655.07|||
18|100|RETENCION IGTF|20,00-|0.00|869,714,635.07|||
18|100|PP0176238671PAGO A PROVEEDORES|510.000.102,00-|0.00|359,714,533.07|||
18|100|RETENCION IGTF|10.200.002,04-|0.00|349,514,531.03|||
18|100|COMISION MISMO BANCO|50.454,40-|0.00|349,464,076.63|||
18|100|RETENCION IGTF|1.009,09-|0.00|349,463,067.54|||
18|100|COMISION OTROS BANCOS|71.183,86-|0.00|349,391,883.68|||
18|100|RETENCION IGTF|1.423,68-|0.00|349,390,460.00|||
18|100|COMISION MISMO BANCO|39.780,00-|0.00|349,350,680.00|||
18|100|RETENCION IGTF|795,60-|0.00|349,349,884.40|||
18|100|COMISION OTROS BANCOS|56.000,00-|0.00|349,293,884.40|||
18|100|RETENCION IGTF|1.120,00-|0.00|349,292,764.40|||
18|100|PN0176238880PAGO DE NOMINA|62.110.279,86-|0.00|287,182,484.54|||
18|100|RETENCION IGTF|1.242.205,60-|0.00|285,940,278.94|||
18|100|PN0176238970PAGO DE NOMINA|48.920.000,00-|0.00|237,020,278.94|||
18|100|RETENCION IGTF|978.400,00-|0.00|236,041,878.94|||
19|251|EMIS.CHEQ.GER. PAG011687992|19.877.150,00-|0.00|216,164,728.94|||
19|251|COMISIONES|200.000,00-|0.00|215,964,728.94|||
19|251|EMIS.CHEQ.GER. PAG011687993|183.943.281,85-|0.00|32,021,447.09|||
19|251|COMISIONES|200.000,00-|0.00|31,821,447.09|||
19|100|PP0176262741PAGO A PROVEEDORES|0.00|500,000,000.00|531,821,447.09|||
19|100|PP0176265341PAGO A PROVEEDORES|510.000.102,00-|0.00|21,821,345.09|||
19|100|RETENCION IGTF|10.200.002,04-|0.00|11,621,343.05|||
22|100|COMI.PP.MISMO BCO C 22/02/21|1.000,00-|0.00|11,620,343.05|||
22|100|RETENCION IGTF|20,00-|0.00|11,620,323.05|||
22|100|COMI.PP.MISMO BCO C 22/02/21|1.000,00-|0.00|11,619,323.05|||
22|100|RETENCION IGTF|20,00-|0.00|11,619,303.05|||
23|100|PP0176291991PAGO A PROVEEDOR|0.00|190,000,000.00|201,619,303.05|||
23|100|PP0176292051PAGO A PROVEEDORES|146.803.202,02-|0.00|54,816,101.03|||
23|100|RETENCION IGTF|2.936.064,04-|0.00|51,880,036.99|||
23|100|PP0176292241PAGO A PROVEEDORES|37.907.035,70-|0.00|13,973,001.29|||
23|100|RETENCION IGTF|758.140,71-|0.00|13,214,860.58|||
23|100|COMI.PP.MISMO BCO C 23/02/21|1.000,00-|0.00|13,213,860.58|||
23|100|RETENCION IGTF|20,00-|0.00|13,213,840.58|||
23|100|COMI.PP.MISMO BCO C 23/02/21|1.000,00-|0.00|13,212,840.58|||
23|100|RETENCION IGTF|20,00-|0.00|13,212,820.58|||
23|100|COMI.PP.MISMO BCO C 23/02/21|1.000,00-|0.00|13,211,820.58|||
23|100|RETENCION IGTF|20,00-|0.00|13,211,800.58|||
23|100|COMI.PP.MISMO BCO C 23/02/21|1.000,00-|0.00|13,210,800.58|||
23|100|RETENCION IGTF|20,00-|0.00|13,210,780.58|||
23|100|COMI.PP.MISMO BCO C 23/02/21|1.000,00-|0.00|13,209,780.58|||
23|100|RETENCION IGTF|20,00-|0.00|13,209,760.58|||
