Fecha;Hora;Oficina;Descripci�n;Referencia;C�digo de transacci�n;;D�bitos;Cr�ditos;Saldo
1/03/2021;19:34:27;WEB;Trasp.Deb.;.;2K21888795;;401;.;37,032.81
1/03/2021;11:32:39;WEB;Trasp.Deb.;.;2K21650905;;522;.;37,433.81
1/03/2021;19:34:27;WEB;Trasp.Deb.;.;2K21888795;;401;.;37,032.81
1/03/2021;11:32:39;WEB;Trasp.Deb.;.;2K21650905;;522;.;37,433.81
2/03/2021;08:51:56;ATM/POS;Rt.ATM/POS;100976938;2K22094710;;550;.;36,482.81
2/03/2021;08:51:56;ATM/POS;Rt.ATM/POS;100976938;2K22094710;;550;.;36,482.81
3/03/2021;08:56:10;WEB;Trasp.Deb.;.;2K23437493;;1,000.00;.;36,482.81
3/03/2021;08:51:07;WEB;Trasp.Cre.;.;2K23035738;;.;1,000.00;37,482.81
3/03/2021;08:56:10;WEB;Trasp.Deb.;.;2K23437493;;1,000.00;.;36,482.81
3/03/2021;08:51:07;WEB;Trasp.Cre.;.;2K23035738;;.;1,000.00;37,482.81
9/03/2021;15:20:22;WEB;Trasp.Cre.;.;2K29204160;;.;104;36,586.81
9/03/2021;15:20:22;WEB;Trasp.Cre.;.;2K29204160;;.;104;36,586.81
10/03/2021;15:54:56;WEB;Trasp.Deb.;.;2K20166470;;500;.;36,086.81
11/03/2021;18:09:33;WEB;Trasp.Deb.;.;2K2A609342;;500;.;36,186.81
11/03/2021;18:09:00;WEB;Trasp.Cre.;.;2K2A241154;;.;500;36,686.81
11/03/2021;17:54:02;WEB;Trasp.Cre.;.;2K2A604077;;.;100;36,186.81
17/03/2021;10:39:36;ATM/POS;Rt.ATM/POS;100976938;2K2G705163;;100;.;35,736.81
17/03/2021;09:15:14;WEB;Trasp.Deb.;.;2K2G901074;;350;.;35,836.81
18/03/2021;09:45:27;WEB;Trasp.Deb.;.;2K2H305451;;350;.;35,836.81
18/03/2021;09:43:55;WEB;Trasp.Deb.;.;2K2H304815;;150;.;36,186.81
18/03/2021;09:42:13;WEB;Trasp.Deb.;.;2K2H304198;;100;.;36,336.81
18/03/2021;08:50:27;WEB;Trasp.Cre.;.;2K2H038269;;.;700;36,436.81
25/03/2021;16:38:06;WEB;Trasp.Deb.;.;2K2O665007;;400;.;35,836.81
25/03/2021;16:28:38;WEB;Trasp.Cre.;.;2K2O203446;;.;400;36,236.81
27/03/2021;18:33:11;WEB;Trasp.Cre.;.;2K2Q230181;;.;2,000.00;37,836.81
28/03/2021;10:32:24;WEB;Trasp.Deb.;.;2K2R503884;;0;.;0
28/03/2021;00:05:45;SCZ;Int.Pagado;.;2K2R202364;;.;56.43;37,885.90
28/03/2021;00:05:45;SCZ;Retenc.IVA;.;2K2R202364;;7.34;.;37,829.47
